time	x	y	z	
5.518249	0.1597293	0.0423521	0.2055236
5.527259	0.1614582	0.03897259	0.2082618
5.546196	0.1609672	0.02714705	0.2244546
5.558741	0.1596646	0.01655119	0.2288856
5.570229	0.1584972	0.006663138	0.2328707
5.584542	0.1574438	-0.002604047	0.2364783
5.60232	0.1591757	-0.01256403	0.242495
5.612359	0.160786	-0.02205118	0.2480834
5.625621	0.1629204	-0.03354139	0.2555843
5.639175	0.1649544	-0.04466295	0.2627273
5.654161	0.1668969	-0.05542785	0.2695456
5.669496	0.1672395	-0.06909591	0.2724555
5.684461	0.1676389	-0.08236762	0.2754543
5.696869	0.1670174	-0.09886111	0.2800872
5.713019	0.1665019	-0.1148491	0.284665
5.722933	0.1653767	-0.1268128	0.2840025
5.736849	0.1643015	-0.1396528	0.2836447
5.753277	0.1633203	-0.1521952	0.2834795
5.768503	0.163556	-0.1718651	0.2882699
5.779616	0.1637722	-0.1927501	0.2932461
5.792347	0.162388	-0.2091324	0.2935029
5.807408	0.1611042	-0.2250703	0.2938881
5.822417	0.1599095	-0.2405333	0.294371
5.837034	0.1590401	-0.2537189	0.2941141
5.851926	0.1581957	-0.2668551	0.2939828
5.863943	0.1568016	-0.2777248	0.2901329
5.880556	0.1554738	-0.2887313	0.2866915
5.891402	0.1537894	-0.2948981	0.2805366
5.90401	0.1521862	-0.3014845	0.2748949
5.918293	0.1506386	-0.3084506	0.2696334
5.935889	0.1495163	-0.3132298	0.2661911
5.9491	0.1483972	-0.3184539	0.2628581
5.960533	0.1488398	-0.3249999	0.2649202
5.974712	0.1491562	-0.3317341	0.2666121
5.989211	0.1493746	-0.3386393	0.2680172
6.003253	0.1494125	-0.3408321	0.2675571
6.017438	0.1493984	-0.3435551	0.2670675
6.033357	0.1492669	-0.3440634	0.2653582
6.04623	0.1491097	-0.3451287	0.2637345
6.057897	0.1490525	-0.3436137	0.2620198
6.071218	0.1489699	-0.3426766	0.2603671
6.086641	0.1488688	-0.3421882	0.2587721
6.102149	0.1494078	-0.3397701	0.2586735
6.115867	0.1498766	-0.3378367	0.2584767
6.129224	0.1505381	-0.3354694	0.2590014
6.144413	0.1511361	-0.3334686	0.2594002
6.154774	0.1516849	-0.3317528	0.2597032
6.168639	0.1524911	-0.3294198	0.2607907
6.185656	0.1532391	-0.3273428	0.2617381
6.200083	0.154442	-0.3245825	0.2634263
6.211435	0.1555646	-0.3220603	0.2649528
6.224474	0.1571926	-0.3164321	0.2680104
6.23836	0.1587282	-0.311204	0.270841
6.253393	0.1584105	-0.3118826	0.2705223
6.268193	0.159551	-0.2973888	0.2726144
6.284761	0.1606207	-0.2841249	0.2745505
6.296017	0.1613373	-0.271219	0.2775866
6.30821	0.1620345	-0.2591299	0.280424
6.321301	0.1627163	-0.2476788	0.2831063
6.335434	0.1622147	-0.2310092	0.2806074
6.352647	0.1618126	-0.2152752	0.2784828
6.367825	0.1634256	-0.2045606	0.2857526
6.380385	0.1649361	-0.1940311	0.2924831
6.395259	0.1633864	-0.1777993	0.2888584
6.406674	0.1620043	-0.1621461	0.2856689
6.421268	0.160759	-0.1470142	0.2828248
6.43456	0.1600262	-0.1296598	0.2789543
6.450638	0.1593384	-0.1127953	0.2754073
6.463011	0.1578596	-0.09674794	0.2719074
6.476254	0.1564759	-0.08097214	0.2686259
6.490254	0.1551681	-0.0654265	0.2655185
6.504433	0.1534	-0.05242635	0.264761
6.519098	0.1517312	-0.03936277	0.2639148
6.53282	0.1543776	-0.02822747	0.2708212
6.549737	0.1567227	-0.01687311	0.2770061
6.558737	0.1573027	-0.006998101	0.2759481
6.573412	0.157815	0.003149654	0.2749613
6.587026	0.1582719	0.01343369	0.274036
6.602349	0.1579886	0.0214794	0.269197
6.617099	0.157734	0.02986618	0.2647468
6.630134	0.1584711	0.03666974	0.2657466
6.642877	0.1591469	0.04384347	0.2665639
6.656529	0.1597741	0.05129885	0.2672381
6.671592	0.1560785	0.05156005	0.2603133
6.685524	0.1527509	0.05267734	0.2539959
6.701466	0.1507709	0.05305988	0.2507169
6.7158	0.1489138	0.05409385	0.2475704
6.728862	0.1456876	0.051766	0.2368589
6.740559	0.1426561	0.05014117	0.2268301
6.753437	0.1397919	0.04906527	0.2173836
6.768188	0.1422125	0.04752337	0.2250056
6.784522	0.1442717	0.04640515	0.23149
6.797493	0.1479759	0.04451871	0.2453469
6.813437	0.1512952	0.04298707	0.2578104
6.825073	0.1543162	0.04173127	0.2691937
6.837558	0.1549465	0.03805163	0.2754835
6.851476	0.1555874	0.03479334	0.281477
6.868727	0.1519045	0.0233358	0.277617
6.882233	0.1485927	0.01284338	0.2743966
6.894372	0.1461293	0.001182102	0.2700771
6.908026	0.1438647	-0.009673847	0.2662928
6.922058	0.1417574	-0.01995921	0.2629421
6.935737	0.1436519	-0.0316077	0.2684327
6.95058	0.145297	-0.04273494	0.2734312
6.966898	0.149472	-0.05684494	0.2849811
6.976274	0.1532706	-0.07035483	0.2956616
6.990605	0.1567715	-0.08338267	0.3056526
7.004874	0.1568148	-0.1007113	0.3043167
7.021751	0.1569669	-0.1173761	0.3035342
7.037384	0.1568357	-0.1345273	0.3030511
7.049963	0.1568035	-0.1511069	0.3029238
7.057881	0.1581054	-0.173091	0.3046169
7.073073	0.1593685	-0.1942455	0.3064081
7.087393	0.1605963	-0.2146739	0.3082658
7.102287	0.1596986	-0.229632	0.3062172
7.119212	0.1589688	-0.2446731	0.3045679
7.13431	0.1567686	-0.2569009	0.302404
7.143152	0.154801	-0.2694108	0.3005533
7.156834	0.153019	-0.2821312	0.2989514
7.170326	0.1535538	-0.2935957	0.2986912
7.186406	0.154006	-0.305332	0.2984802
7.201222	0.1535299	-0.3105461	0.2931112
7.217535	0.1530762	-0.3164781	0.2882223
7.227593	0.153498	-0.3233068	0.289623
7.241577	0.1538652	-0.3305506	0.2908507
7.255308	0.1541892	-0.3380732	0.2919412
7.26906	0.1536804	-0.3402378	0.2924379
